metric,model,mean diff,P(T test),P(wilcoxon test),P(ks test)
ROUGE-2,Baseline & Fusion,0.11362296,0.010449212705719257,0.00673436598082608,0.13997518016385846
ROUGE-2,Baseline & Ordering,0.0041199625,0.9345146328087117,0.623353058103469,0.1930416519246901
ROUGE-2,Fusion & Ordering,0.109503,0.018701748351374146,0.005747706934075764,0.06909243488939809
ROUGE-2,Baseline & Ordering+Fusion,0.12360957,0.0051050662546329156,0.004522907170295798,0.06909243488939809
ROUGE-2,Ordering & Ordering+Fusion,0.11948961,0.00993020942434892,0.0009744761945171877,0.03137665215307245
ROUGE-2,Fusion & Ordering+Fusion,0.009986609,0.7987752917210433,0.7713120643169018,0.9999968988973139
ROUGE-SU4,Baseline & Fusion,0.11362296,0.010449212705719257,0.00673436598082608,0.13997518016385846
ROUGE-SU4,Baseline & Ordering,0.0041199625,0.9345146328087117,0.623353058103469,0.1930416519246901
ROUGE-SU4,Fusion & Ordering,0.109503,0.018701748351374146,0.005747706934075764,0.06909243488939809
ROUGE-SU4,Baseline & Ordering+Fusion,0.12360957,0.0051050662546329156,0.004522907170295798,0.06909243488939809
ROUGE-SU4,Ordering & Ordering+Fusion,0.11948961,0.00993020942434892,0.0009744761945171877,0.03137665215307245
ROUGE-SU4,Fusion & Ordering+Fusion,0.009986609,0.7987752917210433,0.7713120643169018,0.9999968988973139
